fpath,sample_ID
../POISED/ProcessedData/LiveLabelledCells/P075_UnStim_label_expression.csv,P075_UnStim
../POISED/ProcessedData/LiveLabelledCells/P107_PeaStim_label_expression.csv,P107_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P063_UnStim_label_expression.csv,P063_UnStim
../POISED/ProcessedData/LiveLabelledCells/P090_UnStim_label_expression.csv,P090_UnStim
../POISED/ProcessedData/LiveLabelledCells/P079_PeaStim_label_expression.csv,P079_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P015_UnStim_label_expression.csv,P015_UnStim
../POISED/ProcessedData/LiveLabelledCells/P052_UnStim_label_expression.csv,P052_UnStim
../POISED/ProcessedData/LiveLabelledCells/P107_UnStim_label_expression.csv,P107_UnStim
../POISED/ProcessedData/LiveLabelledCells/P042_UnStim_label_expression.csv,P042_UnStim
../POISED/ProcessedData/LiveLabelledCells/P063_PeaStim_label_expression.csv,P063_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P052_PeaStim_label_expression.csv,P052_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P090_PeaStim_label_expression.csv,P090_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P085_PeaStim_label_expression.csv,P085_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P075_PeaStim_label_expression.csv,P075_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P079_UnStim_label_expression.csv,P079_UnStim
../POISED/ProcessedData/LiveLabelledCells/P015_PeaStim_label_expression.csv,P015_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P042_PeaStim_label_expression.csv,P042_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P085_UnStim_label_expression.csv,P085_UnStim
