fpath,sample_ID
../POISED/ProcessedData/LiveLabelledCells/P112_PeaStim_label_expression.csv,P112_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P120_UnStim_label_expression.csv,P120_UnStim
../POISED/ProcessedData/LiveLabelledCells/P115_UnStim_label_expression.csv,P115_UnStim
../POISED/ProcessedData/LiveLabelledCells/P111_PeaStim_label_expression.csv,P111_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P120_PeaStim_label_expression.csv,P120_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P117_PeaStim_label_expression.csv,P117_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P111_UnStim_label_expression.csv,P111_UnStim
../POISED/ProcessedData/LiveLabelledCells/P115_PeaStim_label_expression.csv,P115_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P112_UnStim_label_expression.csv,P112_UnStim
../POISED/ProcessedData/LiveLabelledCells/P117_UnStim_label_expression.csv,P117_UnStim
../POISED/ProcessedData/LiveLabelledCells/P116_PeaStim_label_expression.csv,P116_PeaStim
../POISED/ProcessedData/LiveLabelledCells/P116_UnStim_label_expression.csv,P116_UnStim
